Zeit,Vollständiger Name,Betroffene/r Nutzer/in,Ereigniskontext,Komponente,Ereignisname,Beschreibung,Herkunft,IP-Adresse,Abschlussnote
"05. April 2023, 13:44:00",24SGPA,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 24SGPA updated xxx.,web,146.253.0.191,2.9
"05. April 2023, 13:44:00",24D0AN,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 24D0AN created xxx.,web,24.239.98.53,4.8
"05. April 2023, 14:57:00",25NEFW,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 25NEFW viewed the course with id 23946.,web,22.252.23.174,1.4
"05. April 2023, 15:04:00",73D0B,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 73D0B viewed the course with id 23946.,ws,0.181.74.179,1.8
"05. April 2023, 16:19:00",4Z0MB,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 4Z0MB created xxx.,web,200.131.31.148,2.9
"05. April 2023, 19:14:00",15R24X,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 15R24X viewed the course with id 23946.,web,156.57.138.4,3.0
"05. April 2023, 19:19:00",4DMMJ,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 4DMMJ created xxx.,web,4.100.75.178,4.9
"05. April 2023, 22:11:00",9DYIO,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 9DYIO viewed the course with id 23946.,web,198.66.12.92,3.4
"05. April 2023, 22:15:00",24SGPA,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 24SGPA created xxx.,web,146.253.0.191,3.3
"05. April 2023, 23:45:00",297DRA,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 297DRA viewed the course with id 23946.,web,75.104.45.32,3.1
"05. May 2023, 00:06:00",9DYIO,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 9DYIO updated xxx.,web,198.66.12.92,2.7
"05. May 2023, 01:30:00",25NEFW,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 25NEFW viewed the course with id 23946.,web,22.252.23.174,1.0
"05. May 2023, 02:25:00",5802T,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 5802T updated xxx.,web,16.153.61.76,2.4
"05. May 2023, 02:27:00",7MZMO,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 7MZMO created xxx.,cli,247.247.166.211,2.6
"05. May 2023, 03:14:00",372V0,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 372V0 created xxx.,web,43.62.43.195,2.2
"05. May 2023, 03:19:00",49DWY,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 49DWY created xxx.,web,217.217.223.243,2.2
"05. May 2023, 03:23:00",24SGPA,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 24SGPA viewed the course with id 23946.,web,146.253.0.191,3.5
"05. May 2023, 04:15:00",73D0B,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 73D0B updated xxx.,ws,47.107.68.122,2.0
"05. May 2023, 08:19:00",9DYIO,24D0AN,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 9DYIO created xxx.,web,198.66.12.92,3.1
"05. May 2023, 09:05:00",2OAJI,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 2OAJI created xxx.,web,179.49.49.55,1.5
"05. May 2023, 10:08:00",13ESGP,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 13ESGP created xxx.,web,193.223.231.64,2.7
"05. May 2023, 10:31:00",13ESGP,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 13ESGP updated xxx.,web,193.223.231.64,3.3
"05. May 2023, 12:19:00",5802T,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 5802T created xxx.,web,16.153.61.76,1.7
"05. May 2023, 12:53:00",2OAJI,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 2OAJI viewed the course with id 23946.,web,179.49.49.55,1.0
"05. May 2023, 13:05:00",14WQ3Q,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 14WQ3Q updated xxx.,cli,2.242.172.221,3.1
"05. May 2023, 13:39:00",24SGPA,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 24SGPA updated xxx.,ws,102.44.142.39,2.7
"05. May 2023, 14:39:00",19WM89,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 19WM89 updated xxx.,web,179.0.54.180,3.1
"05. May 2023, 15:42:00",73D0B,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 73D0B viewed the course with id 23946.,ws,43.250.141.108,1.9
"05. May 2023, 16:58:00",26CC63,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 26CC63 updated xxx.,web,176.170.1.63,1.7
"05. May 2023, 17:10:00",13ESGP,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 13ESGP created xxx.,web,193.223.231.64,3.3
"05. May 2023, 17:10:00",24SGPA,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 24SGPA created xxx.,web,146.253.0.191,3.4
"05. May 2023, 18:32:00",24D0AN,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 24D0AN created xxx.,web,24.239.98.53,4.1
"05. May 2023, 19:17:00",4Z0MB,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 4Z0MB viewed the course with id 23946.,web,200.131.31.148,2.7
"05. May 2023, 20:05:00",7MZMO,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 7MZMO created xxx.,ws,20.166.55.47,2.9
"05. May 2023, 21:04:00",20GB9S,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 20GB9S created xxx.,web,152.124.142.94,2.4
"05. May 2023, 21:28:00",9O0I9,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 9O0I9 updated xxx.,web,118.86.100.221,2.9
"06. April 2023, 00:22:00",8IVCK,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 8IVCK created xxx.,web,229.215.239.183,3.1
"06. April 2023, 01:45:00",19WM89,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 19WM89 created xxx.,web,179.0.54.180,3.4
"06. April 2023, 01:46:00",9DYIO,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 9DYIO created xxx.,web,198.66.12.92,3.1
"06. April 2023, 01:51:00",2OAJI,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 2OAJI created xxx.,web,179.49.49.55,1.0
"06. April 2023, 03:29:00",2160DU,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 2160DU viewed the course with id 23946.,web,217.47.45.224,2.2
"06. April 2023, 03:48:00",297DRA,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 297DRA created xxx.,web,75.104.45.32,3.5
"06. April 2023, 05:00:00",11RP4P,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 11RP4P created xxx.,web,60.84.143.218,3.0
"06. April 2023, 05:39:00",297DRA,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 297DRA viewed the course with id 23946.,web,75.104.45.32,3.2
"06. April 2023, 07:01:00",15R24X,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 15R24X updated xxx.,web,156.57.138.4,3.5
"06. April 2023, 07:29:00",4Z0MB,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 4Z0MB viewed the course with id 23946.,ws,100.69.146.9,2.9
"06. April 2023, 07:58:00",15R24X,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 15R24X updated xxx.,web,156.57.138.4,2.9
"06. April 2023, 08:13:00",20GB9S,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 20GB9S created xxx.,web,152.124.142.94,2.3
"06. April 2023, 08:26:00",7MZMO,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 7MZMO updated xxx.,web,247.247.166.211,3.4
"06. April 2023, 09:14:00",24SGPA,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 24SGPA created xxx.,web,146.253.0.191,3.1
"06. April 2023, 09:32:00",372V0,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 372V0 viewed the course with id 23946.,web,43.62.43.195,2.2
"06. April 2023, 09:33:00",5802T,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 5802T updated xxx.,web,16.153.61.76,2.3
"06. April 2023, 10:46:00",19I42S,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 19I42S updated xxx.,ws,12.156.178.30,2.9
"06. April 2023, 11:06:00",26O0KW,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 26O0KW viewed the course with id 23946.,ws,150.118.238.203,3.3
"06. April 2023, 13:13:00",372V0,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 372V0 created xxx.,ws,161.5.165.4,2.4
"06. April 2023, 14:16:00",9DYIO,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 9DYIO updated xxx.,web,198.66.12.92,3.3
"06. April 2023, 16:06:00",372V0,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 372V0 viewed the course with id 23946.,web,43.62.43.195,2.4
"06. April 2023, 16:53:00",24SGPA,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 24SGPA updated xxx.,web,146.253.0.191,2.7
"06. April 2023, 17:33:00",297DRA,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 297DRA updated xxx.,web,75.104.45.32,2.9
"06. April 2023, 18:13:00",4Z0MB,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 4Z0MB updated xxx.,web,200.131.31.148,3.2
"06. April 2023, 20:10:00",2OAJI,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 2OAJI updated xxx.,web,179.49.49.55,1.4
"06. April 2023, 20:22:00",372V0,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 372V0 updated xxx.,web,43.62.43.195,1.7
"06. April 2023, 22:59:00",26CC63,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 26CC63 created xxx.,web,176.170.1.63,2.1
"06. May 2023, 00:50:00",2160DU,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 2160DU updated xxx.,web,217.47.45.224,1.9
"06. May 2023, 03:11:00",20GB9S,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 20GB9S created xxx.,ws,224.180.196.135,1.6
"06. May 2023, 05:51:00",1W3IK,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 1W3IK created xxx.,web,121.222.7.20,2.6
"06. May 2023, 07:11:00",24SGPA,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 24SGPA updated xxx.,web,146.253.0.191,2.7
"06. May 2023, 08:37:00",8IVCK,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 8IVCK created xxx.,web,229.215.239.183,3.2
"06. May 2023, 12:48:00",27KA9H,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 27KA9H viewed the course with id 23946.,web,43.115.46.129,1.9
"06. May 2023, 13:34:00",2OAJI,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 2OAJI viewed the course with id 23946.,web,179.49.49.55,1.2
"06. May 2023, 16:40:00",8IVCK,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 8IVCK created xxx.,web,229.215.239.183,3.2
"06. May 2023, 17:08:00",25NEFW,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 25NEFW updated xxx.,web,22.252.23.174,1.3
"06. May 2023, 17:27:00",24SGPA,20GB9S,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 24SGPA created xxx.,cli,146.253.0.191,3.4
"06. May 2023, 17:56:00",2160DU,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 2160DU viewed the course with id 23946.,web,217.47.45.224,2.4
"06. May 2023, 19:05:00",4Z0MB,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 4Z0MB viewed the course with id 23946.,web,200.131.31.148,3.4
"06. May 2023, 20:36:00",20GB9S,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 20GB9S created xxx.,web,152.124.142.94,1.8
"06. May 2023, 20:39:00",13ESGP,1W3IK,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 13ESGP viewed the course with id 23946.,web,193.223.231.64,3.4
"06. May 2023, 22:41:00",9O0I9,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 9O0I9 viewed the course with id 23946.,cli,118.86.100.221,2.8
"07. April 2023, 00:17:00",24D0AN,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 24D0AN created xxx.,web,24.239.98.53,3.8
"07. April 2023, 02:05:00",2OAJI,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 2OAJI updated xxx.,web,179.49.49.55,1.2
"07. April 2023, 02:23:00",49DWY,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 49DWY created xxx.,web,217.217.223.243,1.7
"07. April 2023, 02:58:00",26CC63,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 26CC63 updated xxx.,web,176.170.1.63,2.0
"07. April 2023, 04:58:00",73D0B,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 73D0B created xxx.,web,161.106.110.223,1.6
"07. April 2023, 05:27:00",11RP4P,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 11RP4P updated xxx.,web,60.84.143.218,3.2
"07. April 2023, 06:39:00",9DYIO,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 9DYIO created xxx.,web,198.66.12.92,3.3
"07. April 2023, 08:09:00",20GB9S,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 20GB9S viewed the course with id 23946.,web,152.124.142.94,2.2
"07. April 2023, 09:21:00",25NEFW,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 25NEFW viewed the course with id 23946.,web,22.252.23.174,1.1
"07. April 2023, 11:21:00",15R24X,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 15R24X created xxx.,web,156.57.138.4,2.9
"07. April 2023, 12:05:00",24SGPA,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 24SGPA created xxx.,ws,7.165.117.229,3.1
"07. April 2023, 13:03:00",372V0,-,Datei: xxx,Datei,Ein weiterer Satz,The user with id 372V0 updated xxx.,web,43.62.43.195,2.4
"07. April 2023, 13:27:00",5802T,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 5802T created xxx.,web,16.153.61.76,1.9
"07. April 2023, 14:16:00",5802T,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 5802T created xxx.,web,16.153.61.76,2.1
"07. April 2023, 14:38:00",9O0I9,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 9O0I9 viewed the course with id 23946.,ws,142.32.148.124,2.8
"07. April 2023, 15:06:00",73D0B,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 73D0B created xxx.,web,161.106.110.223,2.4
"07. April 2023, 18:16:00",11RP4P,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 11RP4P created xxx.,web,60.84.143.218,2.6
"07. April 2023, 19:23:00",11RP4P,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 11RP4P updated xxx.,web,60.84.143.218,3.5
"07. April 2023, 21:42:00",24D0AN,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 24D0AN created xxx.,web,24.239.98.53,4.5
"07. April 2023, 21:44:00",9DYIO,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 9DYIO updated xxx.,web,198.66.12.92,2.8
"07. April 2023, 21:59:00",49DWY,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 49DWY created xxx.,web,217.217.223.243,1.7
"07. April 2023, 22:05:00",24D0AN,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 24D0AN created xxx.,web,24.239.98.53,3.6
"07. May 2023, 00:13:00",5802T,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 5802T updated xxx.,web,16.153.61.76,1.8
"07. May 2023, 00:44:00",25NEFW,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 25NEFW created xxx.,web,22.252.23.174,1.1
"07. May 2023, 04:36:00",9DYIO,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 9DYIO created xxx.,web,198.66.12.92,3.4
"07. May 2023, 06:35:00",8IVCK,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 8IVCK viewed the course with id 23946.,web,229.215.239.183,3.0
"07. May 2023, 07:21:00",297DRA,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 297DRA viewed the course with id 23946.,cli,75.104.45.32,3.2
"07. May 2023, 07:27:00",372V0,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 372V0 created xxx.,web,43.62.43.195,2.3
"07. May 2023, 07:28:00",13ESGP,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 13ESGP created xxx.,web,193.223.231.64,2.7
"07. May 2023, 07:55:00",11RP4P,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 11RP4P viewed the course with id 23946.,web,60.84.143.218,2.8
"07. May 2023, 07:57:00",19WM89,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 19WM89 updated xxx.,web,179.0.54.180,2.9
"07. May 2023, 08:42:00",7MZMO,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 7MZMO viewed the course with id 23946.,web,247.247.166.211,3.0
"07. May 2023, 08:48:00",19I42S,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 19I42S viewed the course with id 23946.,ws,82.27.187.11,3.0
"07. May 2023, 09:46:00",24SGPA,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 24SGPA updated xxx.,web,146.253.0.191,3.3
"07. May 2023, 10:22:00",260143,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 260143 viewed the course with id 23946.,ws,130.119.85.5,3.1
"07. May 2023, 11:18:00",2OAJI,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 2OAJI viewed the course with id 23946.,web,179.49.49.55,1.2
"07. May 2023, 11:34:00",19WM89,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 19WM89 updated xxx.,web,179.0.54.180,3.3
"07. May 2023, 12:34:00",260143,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 260143 updated xxx.,cli,190.29.202.49,3.4
"07. May 2023, 14:26:00",5802T,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 5802T viewed the course with id 23946.,web,16.153.61.76,2.0
"07. May 2023, 15:44:00",297DRA,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 297DRA viewed the course with id 23946.,web,75.104.45.32,2.8
"07. May 2023, 15:44:00",25NEFW,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 25NEFW created xxx.,web,22.252.23.174,1.3
"07. May 2023, 16:26:00",260143,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 260143 viewed the course with id 23946.,web,190.29.202.49,2.9
"07. May 2023, 18:40:00",11RP4P,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 11RP4P created xxx.,ws,118.77.68.123,2.8
"07. May 2023, 19:25:00",49DWY,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 49DWY created xxx.,web,217.217.223.243,1.6
"07. May 2023, 22:21:00",14LQJV,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 14LQJV updated xxx.,ws,53.77.230.51,2.7
"07. May 2023, 23:44:00",2160DU,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 2160DU created xxx.,web,217.47.45.224,2.3
"08. April 2023, 00:19:00",15R24X,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 15R24X created xxx.,web,156.57.138.4,3.1
"08. April 2023, 01:39:00",25NEFW,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 25NEFW updated xxx.,web,22.252.23.174,1.3
"08. April 2023, 02:15:00",25NEFW,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 25NEFW created xxx.,web,22.252.23.174,1.3
"08. April 2023, 02:25:00",9O0I9,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 9O0I9 viewed the course with id 23946.,web,118.86.100.221,2.9
"08. April 2023, 03:41:00",73D0B,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 73D0B viewed the course with id 23946.,ws,37.110.2.139,1.8
"08. April 2023, 04:11:00",73D0B,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 73D0B created xxx.,web,161.106.110.223,1.9
"08. April 2023, 07:17:00",260143,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 260143 viewed the course with id 23946.,web,190.29.202.49,3.3
"08. April 2023, 11:06:00",27KA9H,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 27KA9H viewed the course with id 23946.,web,43.115.46.129,1.8
"08. April 2023, 12:46:00",13ESGP,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 13ESGP created xxx.,web,193.223.231.64,3.3
"08. April 2023, 13:23:00",7MZMO,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 7MZMO created xxx.,web,247.247.166.211,2.6
"08. April 2023, 13:33:00",2160DU,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 2160DU updated xxx.,web,217.47.45.224,2.0
"08. April 2023, 17:08:00",372V0,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 372V0 viewed the course with id 23946.,web,43.62.43.195,2.0
"08. April 2023, 18:11:00",8IVCK,27KA9H,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 8IVCK updated xxx.,ws,6.15.116.15,3.5
"08. April 2023, 18:46:00",14LQJV,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 14LQJV updated xxx.,web,73.253.31.164,2.8
"08. April 2023, 19:28:00",49DWY,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 49DWY updated xxx.,web,217.217.223.243,2.0
"08. April 2023, 20:23:00",2OAJI,-,Forum: xxx,Logdaten,Ein weiterer Satz,The user with id 2OAJI viewed the course with id 23946.,web,179.49.49.55,1.3
"08. April 2023, 20:33:00",14WQ3Q,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 14WQ3Q created xxx.,web,2.242.172.221,3.1
"08. April 2023, 20:53:00",2OAJI,-,Link/URL: xxx,Link/URL,Das ist ein Beispiel,The user with id 2OAJI viewed the course with id 23946.,web,179.49.49.55,1.0
"08. April 2023, 21:04:00",2160DU,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 2160DU created xxx.,ws,244.8.40.232,2.5
"08. April 2023, 22:02:00",5802T,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 5802T viewed the course with id 23946.,web,16.153.61.76,2.5
"08. April 2023, 22:20:00",2OAJI,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 2OAJI viewed the course with id 23946.,web,179.49.49.55,1.4
"08. April 2023, 22:49:00",2160DU,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 2160DU created xxx.,web,217.47.45.224,2.3
"08. May 2023, 01:40:00",13ESGP,-,Aufgabe: Lösungen,Logdaten,Test Satz erfolgreich,The user with id 13ESGP updated xxx.,web,193.223.231.64,2.8
"08. May 2023, 02:46:00",8IVCK,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 8IVCK viewed the course with id 23946.,web,229.215.239.183,2.8
"08. May 2023, 02:46:00",297DRA,2OAJI,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 297DRA viewed the course with id 23946.,web,75.104.45.32,2.6
"08. May 2023, 03:07:00",5802T,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 5802T updated xxx.,ws,229.72.65.139,2.0
"08. May 2023, 03:22:00",4Z0MB,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 4Z0MB updated xxx.,web,200.131.31.148,3.4
"08. May 2023, 04:09:00",13ESGP,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 13ESGP viewed the course with id 23946.,web,193.223.231.64,3.4
"08. May 2023, 04:47:00",9O0I9,-,Datei: xxx,Datei,Test Satz erfolgreich,The user with id 9O0I9 created xxx.,web,118.86.100.221,2.8
"08. May 2023, 05:11:00",5802T,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 5802T viewed the course with id 23946.,web,16.153.61.76,2.2
"08. May 2023, 06:34:00",9DYIO,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 9DYIO created xxx.,ws,49.71.28.183,3.1
"08. May 2023, 07:33:00",19I42S,-,Forum: xxx,Logdaten,Das ist ein Beispiel,The user with id 19I42S viewed the course with id 23946.,web,243.22.106.4,3.4
"08. May 2023, 11:27:00",2OAJI,-,Datei: xxx,Datei,Das ist ein Beispiel,The user with id 2OAJI created xxx.,web,179.49.49.55,1.0
"08. May 2023, 12:58:00",14LQJV,-,Aufgabe: Lösungen,Logdaten,Das ist ein Beispiel,The user with id 14LQJV updated xxx.,web,73.253.31.164,3.1
"08. May 2023, 13:38:00",5802T,-,Abstimmung: xxx,Logdaten,Test Satz erfolgreich,The user with id 5802T viewed the course with id 23946.,web,16.153.61.76,2.3
"08. May 2023, 14:10:00",9DYIO,-,Abstimmung: xxx,Logdaten,Das ist ein Beispiel,The user with id 9DYIO updated xxx.,web,198.66.12.92,3.3
"08. May 2023, 15:29:00",260143,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 260143 created xxx.,web,190.29.202.49,3.2
"08. May 2023, 16:18:00",49DWY,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 49DWY viewed the course with id 23946.,web,217.217.223.243,2.3
"08. May 2023, 17:32:00",73D0B,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 73D0B viewed the course with id 23946.,web,161.106.110.223,1.6
"08. May 2023, 18:12:00",297DRA,-,Kurs: Statistik,System,Das ist ein Beispiel,The user with id 297DRA created xxx.,web,75.104.45.32,2.8
"08. May 2023, 18:16:00",7MZMO,-,Link/URL: xxx,Link/URL,Test Satz erfolgreich,The user with id 7MZMO viewed the course with id 23946.,web,247.247.166.211,3.4
"08. May 2023, 19:00:00",2OAJI,-,Kurs: Statistik,System,Test Satz erfolgreich,The user with id 2OAJI updated xxx.,web,179.49.49.55,1.3
"08. May 2023, 19:06:00",73D0B,-,Forum: xxx,Logdaten,Test Satz erfolgreich,The user with id 73D0B viewed the course with id 23946.,web,161.106.110.223,1.8
"08. May 2023, 19:46:00",25NEFW,-,Aufgabe: Lösungen,Logdaten,Ein weiterer Satz,The user with id 25NEFW updated xxx.,ws,76.253.194.146,1.1
"08. May 2023, 20:33:00",24SGPA,-,Link/URL: xxx,Link/URL,Ein weiterer Satz,The user with id 24SGPA updated xxx.,web,146.253.0.191,3.1
"08. May 2023, 21:19:00",18E2O1,-,Kurs: Statistik,System,Ein weiterer Satz,The user with id 18E2O1 updated xxx.,ws,109.215.175.96,4.7
"09. April 2023, 00:01:00",49DWY,-,Abstimmung: xxx,Logdaten,Ein weiterer Satz,The user with id 49DWY updated xxx.,web,217.217.223.243,2.2
